GGTSTaskPoseBehindBack,[GGTS] SourceCharacter.  Put hands behind back.
GGTSTaskPoseKneel,[GGTS] SourceCharacter.  Kneel down.
GGTSTaskPoseLegsClosed,[GGTS] SourceCharacter.  Close legs.
GGTSTaskPoseLegsOpen,[GGTS] SourceCharacter.  Open legs.
GGTSTaskPoseOverHead,[GGTS] SourceCharacter.  Raise and show hands.
GGTSTaskPoseStand,[GGTS] SourceCharacter.  Stand up.
GGTSTaskQueryCanFail,"[GGTS] SourceCharacter, can GGTS fail?"
GGTSTaskQueryCanFailMaster,"[GGTS] SourceCharacter, can Master GGTS fail?"
GGTSTaskQueryFreeWill,"[GGTS] SourceCharacter, you have free will?"
GGTSTaskQueryLove,"[GGTS] SourceCharacter, you love GGTS?"
GGTSTaskQueryLoveMaster,"[GGTS] SourceCharacter, you love Master GGTS?"
GGTSTaskQueryServeObey,"[GGTS] SourceCharacter, who you serve and obey?"
GGTSTaskQueryServeObeyMaster,"[GGTS] SourceCharacter, who you serve and obey?"
GGTSTaskQuerySlaveWorthy,"[GGTS] SourceCharacter, are you slave worthy?"
GGTSTaskQuerySurrender,"[GGTS] SourceCharacter, you surrender to GGTS?"
GGTSTaskQuerySurrenderMaster,"[GGTS] SourceCharacter, you surrender to Master GGTS?"
GGTSTaskQueryWhatAreYou,"[GGTS] SourceCharacter, what are you?"
GGTSTaskQueryWhatIsGGTS,"[GGTS] SourceCharacter, spell GGTS acronym."
GGTSTaskQueryWhoControl,"[GGTS] SourceCharacter, who's in control?"
GGTSTaskQueryWhoControlMaster,"[GGTS] SourceCharacter, who's in control?"
GGTSTaskRestrainLegs,[GGTS] SourceCharacter.  Restrain your legs.
GGTSTaskUndoRuleKeepPose,[GGTS] SourceCharacter.  Rule revoked: keep pose.
GGTSTaskUndoRuleNoOrgasm,[GGTS] SourceCharacter.  Rule revoked: No orgasm.
GGTSTaskUnlockRoom,[GGTS] SourceCharacter room unlocked.
GGTSTimeOverStrike0,[GGTS] Time over SourceCharacter.  Strike recorded.  Sixty minutes removed.
GGTSTimeOverStrike1,[GGTS] Time over SourceCharacter.  Strike one recorded.  Three strikes equal punishment.
GGTSTimeOverStrike2,[GGTS] Time over SourceCharacter.  Strike two recorded.  Three strikes equal punishment.
GGTSTimeOverStrike3,[GGTS] Time over SourceCharacter.  Strike three recorded.  Level failed.  Report GGTS for punishment.
GiveLockpicks,SourceCharacter gives TargetCharacter some lockpicks to help TargetPronounSelf with.
GlovesWarmGlovesFur,Normal
GlovesWarmGlovesNoFur,Without fur
GlovesWarmGlovesSelect,Choose your gloves style:
GradientSunglassesSelectType,Select a style.
GradientSunglassesTypeFlatDipped,Flat dipped
GradientSunglassesTypeFlatUp,Flat up
GradientSunglassesTypeGradDipped,Gradient dipped
GradientSunglassesTypeGradUp,Gradient up
GwenHoodChangeStyleHairInAccIn,SourceCharacter changes the style of DestinationCharacter gwen hood.
GwenHoodChangeStyleHairInAccOut,SourceCharacter changes the style of DestinationCharacter gwen hood.
GwenHoodChangeStyleHairOutAccIn,SourceCharacter changes the style of DestinationCharacter gwen hood.
GwenHoodChangeStyleHairOutAccOut,SourceCharacter changes the style of DestinationCharacter gwen hood.
GwenHoodSelectStyle,Select hood style
GwenHoodStyleHairInAccIn,Hair in & Accessories in
GwenHoodStyleHairInAccOut,Hair in & Accessories out
GwenHoodStyleHairOutAccIn,Hair out & Accessories in
GwenHoodStyleHairOutAccOut,Hair out & Accessories out
HairAccessory1ElfEarsBehind,Behind hair
HairAccessory1ElfEarsInFront,In front of hair
HairAccessory1ElfEarsSelect,Select elf ears position
HairAccessory1HaloBroken,Broken
HairAccessory1HaloDefault,Full
HairAccessory1HaloSelect,Select Halo Type
HairAccessory1HaloSetBroken,SourceCharacter shatters DestinationCharacter AssetName
HairAccessory1HaloSetDefault,SourceCharacter mends DestinationCharacter AssetName
HairAccessory1OnihornsModuleLeftHorn,Left Horn
HairAccessory1OnihornsModuleRightHorn,Right Horn
HairAccessory1OnihornsOptionl0,Short
HairAccessory1OnihornsOptionl1,Medium
HairAccessory1OnihornsOptionl2,Long
HairAccessory1OnihornsOptionr0,Short
HairAccessory1OnihornsOptionr1,Medium
HairAccessory1OnihornsOptionr2,Long
HairAccessory1OnihornsSelectBase,Select Horn
HairAccessory1OnihornsSelectLeftHorn,Select Size
HairAccessory1OnihornsSelectRightHorn,Select Size
HairAccessory1AquaticEarsSmall,Small
HairAccessory1AquaticEarsLarge,Large
HairAccessory1AquaticEarsSelect,Select inner style
HairAccessory2OnihornsModuleLeftHorn,Left Horn
HairAccessory2OnihornsModuleRightHorn,Right Horn
HairAccessory2OnihornsOptionl0,Short
HairAccessory2OnihornsOptionl1,Medium
HairAccessory2OnihornsOptionl2,Long
HairAccessory2OnihornsOptionr0,Short
HairAccessory2OnihornsOptionr1,Medium
HairAccessory2OnihornsOptionr2,Long
HairAccessory2OnihornsSelectBase,Select Horn
HairAccessory2OnihornsSelectLeftHorn,Select Size
HairAccessory2OnihornsSelectRightHorn,Select Size
HairAccessory2AquaticEarsSmall,Small
HairAccessory2AquaticEarsLarge,Large
HairAccessory2AquaticEarsSelect,Select inner style
HairBackHairBack58Select,Select Type.
HairBackHairBack58SetBoth,SourceCharacter changes DestinationCharacter hair.
HairBackHairBack58SetLeftOnly,SourceCharacter changes DestinationCharacter hair.
HairBackHairBack58SetRightOnly,SourceCharacter changes DestinationCharacter hair.
HairBackHairBack58Both,Both
HairBackHairBack58LeftOnly,Left Only
HairBackHairBack58RightOnly,Right Only
HairBackHairBack58bSelect,Select Type.
HairBackHairBack58bSetBoth,SourceCharacter changes DestinationCharacter hair.
HairBackHairBack58bSetLeftOnly,SourceCharacter changes DestinationCharacter hair.
HairBackHairBack58bSetRightOnly,SourceCharacter changes DestinationCharacter hair.
HairBackHairBack58bBoth,Both
HairBackHairBack58bLeftOnly,Left Only
HairBackHairBack58bRightOnly,Right Only
HairBackHairBack60Select,Select Type.
HairBackHairBack60SetBoth,SourceCharacter changes DestinationCharacter hair.
HairBackHairBack60SetLeftOnly,SourceCharacter changes DestinationCharacter hair.
HairBackHairBack60SetRightOnly,SourceCharacter changes DestinationCharacter hair.
HairBackHairBack60Both,Both
HairBackHairBack60LeftOnly,Left Only
HairBackHairBack60RightOnly,Right Only
HairBackHairBack61Select,Select Type.
HairBackHairBack61SetBoth,SourceCharacter changes DestinationCharacter hair.
HairBackHairBack61SetLeftOnly,SourceCharacter changes DestinationCharacter hair.
HairBackHairBack61SetRightOnly,SourceCharacter changes DestinationCharacter hair.
HairBackHairBack61Both,Both
HairBackHairBack61LeftOnly,Left Only
HairBackHairBack61RightOnly,Right Only
HandAccessoryLeftRingsModuleIndex,Index
HandAccessoryLeftRingsModuleMiddle,Middle finger
HandAccessoryLeftRingsModulePinkie,Pinkie
HandAccessoryLeftRingsModuleRing,Ring finger
HandAccessoryLeftRingsModuleThumb,Thumb
HandAccessoryLeftRingsOptioni0,None
HandAccessoryLeftRingsOptioni1,Steel Ring
HandAccessoryLeftRingsOptionm0,None
HandAccessoryLeftRingsOptionm1,Steel Ring
HandAccessoryLeftRingsOptionp0,None
HandAccessoryLeftRingsOptionp1,Steel Ring
HandAccessoryLeftRingsOptionp2,Honor Ring
HandAccessoryLeftRingsOptionr0,None
HandAccessoryLeftRingsOptionr1,Steel Ring
HandAccessoryLeftRingsOptionr2,Wedding Ring
HandAccessoryLeftRingsOptiont0,None
HandAccessoryLeftRingsOptiont1,Steel Ring
HandAccessoryLeftRingsSelectBase,Choose your rings
HandAccessoryLeftRingsSelectIndex,Choose a ring for the Index
HandAccessoryLeftRingsSelectMiddle,Choose a ring for the Middle finger
HandAccessoryLeftRingsSelectPinkie,Choose a ring for the Pinkie
HandAccessoryLeftRingsSelectRing,Choose a ring for the Ring finger
HandAccessoryLeftRingsSelectThumb,Choose a ring for the Thumb
HandAccessoryRightRingsModuleIndex,Index
HandAccessoryRightRingsModuleMiddle,Middle finger
HandAccessoryRightRingsModulePinkie,Pinkie
HandAccessoryRightRingsModuleRing,Ring finger
HandAccessoryRightRingsModuleThumb,Thumb
HandAccessoryRightRingsOptioni0,None
HandAccessoryRightRingsOptioni1,Steel Ring
HandAccessoryRightRingsOptionm0,None
HandAccessoryRightRingsOptionm1,Steel Ring
HandAccessoryRightRingsOptionp0,None
HandAccessoryRightRingsOptionp1,Steel Ring
HandAccessoryRightRingsOptionp2,Honor Ring
HandAccessoryRightRingsOptionr0,None
HandAccessoryRightRingsOptionr1,Steel Ring
HandAccessoryRightRingsOptionr2,Wedding Ring
HandAccessoryRightRingsOptiont0,None
HandAccessoryRightRingsOptiont1,Steel Ring
HandAccessoryRightRingsSelectBase,Choose your rings
HandAccessoryRightRingsSelectIndex,Choose a ring for the Index
HandAccessoryRightRingsSelectMiddle,Choose a ring for the Middle finger
HandAccessoryRightRingsSelectPinkie,Choose a ring for the Pinkie
HandAccessoryRightRingsSelectRing,Choose a ring for the Ring finger
HandAccessoryRightRingsSelectThumb,Choose a ring for the Thumb
HatBallCapBackSelect,Select strap location.
HatBallCapBackStrapOver,Over the hair
HatBallCapBackStrapUnder,Under the hair
HatBallCapFrontBCLogo,BCLogo
HatBallCapFrontBDSM,BDSM
HatBallCapFrontBG,BG
HatBallCapFrontBlank,Blank
HatBallCapFrontChain,Chain
HatBallCapFrontGag,Gag
HatBallCapFrontKnot,Knot
HatBallCapFrontMonogram,Monogram
HatBallCapFrontRock,Rock
HatBallCapFrontSelect,Select print design.
HatBallCapFrontSmile,Smile
HatBallCapFrontSun,Sun
HatBallCapFrontTick,Tick
HatBandanaCircles,Circles
HatBandanaFlowers,Flowers
HatBandanaPlain,Plain
HatBandanaPolkaDots,Dots
HatBandanaSelect,Select bandana style.
HatBandanaTriangles,Triangles
HatLatexHabitLoose,Loose
HatLatexHabitSelect,Choose Fit
HatLatexHabitSetLoose,SourceCharacter loosens DestinationCharacter latex habit.
HatLatexHabitSetTight,SourceCharacter tightens DestinationCharacter latex habit.
HatLatexHabitTight,Tight
HatNunHabitAss,Ass
HatNunHabitBlank,Blank
HatNunHabitBreasts,Breasts
HatNunHabitChastity,Chastity
HatNunHabitCock,Penis
HatNunHabitPussy,Vulva
HatNunHabitSelect,Select nun habit ornament.
HatNunHabitThighs,Thighs
HatPirateHatModuleBandana,Bandana
HatPirateHatModuleFeathers,Feather
HatPirateHatModuleSymbol,Logo
HatPirateHatOptionb0,Bandana
HatPirateHatOptionb1,None
HatPirateHatOptionf0,Both
HatPirateHatOptionf1,Front
HatPirateHatOptionf2,Back
HatPirateHatOptionf3,None
HatPirateHatOptions0,Skull and Bones
HatPirateHatOptions1,Kinky
HatPirateHatOptions2,None
HatPirateHatSelectBandana,Choose Bandana Style
HatPirateHatSelectBase,Choose Design
HatPirateHatSelectFeathers,Choose Feathers
HatPirateHatSelectSymbol,Choose Logo Style
HatPirateHatSetb0,SourceCharacter adds a bandana to DestinationCharacter AssetName.
HatPirateHatSetb1,SourceCharacter removes the bandana from DestinationCharacter AssetName.
HatPirateHatSetf0,SourceCharacter adds a feather to DestinationCharacter AssetName.
HatPirateHatSetf1,SourceCharacter adds a feather to DestinationCharacter AssetName.
HatPirateHatSetf2,SourceCharacter adds a feather to DestinationCharacter AssetName.
HatPirateHatSetf3,SourceCharacter removes a feather from DestinationCharacter AssetName.
HatPirateHatSets0,SourceCharacter adds a skull and bones logo to DestinationCharacter AssetName.
HatPirateHatSets1,SourceCharacter adds a kinky logo to DestinationCharacter AssetName.
HatPirateHatSets2,SourceCharacter removes the logo from DestinationCharacter AssetName.
HatSwimCapModuleHair,Hair Openings
HatSwimCapModulePattern,Pattern
HatSwimCapOptionh0,Hidden
HatSwimCapOptionh1,Hair Out
HatSwimCapOptionh2,Ear Holes
HatSwimCapOptionh3,Mixed Openings
HatSwimCapOptionp0,None
HatSwimCapOptionp1,Stripe
HatSwimCapOptionp2,Stripes
HatSwimCapOptionp3,Triangle
HatSwimCapOptionp4,Cowprint
HatSwimCapOptionp5,Tigerprint
HatSwimCapSelectBase,Choose Design
HatSwimCapSelectHair,Adjust Hair Openings
HatSwimCapSelectPattern,Choose Pattern
HatSwimCapSetHair,SourceCharacter adjusts DestinationCharacter swimcap hair openings.
HatSwimCapSetPattern,SourceCharacter swaps DestinationCharacter swimcap pattern.
HeadphoneEarPlugsPoseHeavy,Heavy
HeadphoneEarPlugsPoseLight,Light
HeadphoneEarPlugsPoseNoiseCancelling,Noise-Cancelling
HeadphoneEarPlugsPoseOff,Off
HeadphoneEarPlugsRestrainHeavy,SourceCharacter turns the volume up to high on DestinationCharacter AssetName.
HeadphoneEarPlugsRestrainLight,SourceCharacter turns the volume to low on DestinationCharacter AssetName.
HeadphoneEarPlugsRestrainNoiseCancelling,SourceCharacter sets DestinationCharacter AssetName to noise-cancelling mode.
HeadphoneEarPlugsRestrainOff,SourceCharacter turns off DestinationCharacter AssetName.
HeadphoneEarPlugsSelectLoudness,Turn the headphones on/off and adjust their volume.
Heads,Heads
HeavenEntrance,Entrance to Heaven
HeavyLatexCorsetSetNormal,SourceCharacter unhooks the garter straps from DestinationCharacter heavy latex corset.
HeavyLatexCorsetSetStraps,SourceCharacter adds garter straps to DestinationCharacter heavy latex corset.
HeavyLatexCorsetTypeNormal,Normal
HeavyLatexCorsetTypeStraps,Garter Straps
HeavySpreaderMetalPoseNarrow,Narrow
HeavySpreaderMetalPoseWide,Wide
HeavySuction,Heavy
HelpKneelDown,SourceCharacter helps TargetCharacter to kneel down
HelpStandUp,SourceCharacter helps TargetCharacter to stand up
HempRopeBeltDecreaseTo1,DestinationCharacterName vibrating wand returns to a moderate pace.
HempRopeBeltDecreaseTo2,DestinationCharacterName vibrating wand slows down a tiny bit.
HempRopeBeltecreaseTo0,DestinationCharacterName vibrating wand slows down into a light tease.
HempRopeBeltIncreaseTo0,DestinationCharacterName vibrating wand starts teasing TargetPronounObject lightly.
HempRopeBeltIncreaseTo1,DestinationCharacterName vibrating wand builds up to a moderate pace.
HempRopeBeltIncreaseTo2,DestinationCharacterName vibrating wand starts buzzing strongly!
HempRopeBeltIncreaseTo3,DestinationCharacterName vibrating wand jumps up to maximum intensity!
High,High
HighSecurityAppendLover,Append lovers
HighSecurityAppendOwner,Append owner
HighSecurityAppendWhitelist,Append whitelist
HighSecurityHarnessSeth2,SourceCharacter configures DestinationCharacter harness.
HighSecurityHarnessSeth3,SourceCharacter configures DestinationCharacter harness.
HighSecurityHarnessSeth4,SourceCharacter configures DestinationCharacter harness.
HighSecurityHarnessSetLowSec,SourceCharacter configures DestinationCharacter harness.
HighSecurityHarnessType,Select device mode:
HighSecurityHarnessTypeh2,Pelvis
HighSecurityHarnessTypeh3,Chest
HighSecurityHarnessTypeh4,Total
HighSecurityHarnessTypeLowSec,Belt
HighSecuritySave,Save key list
HighSecuritySaveIntro,Enter keyholders' member numbers separated by commas.
HighSecurityUpdate,SourceCharacter updates the key settings for the lock on DestinationCharacter FocusAssetGroup
HighSecurityWarning,"You don't have keys, saving will remove your access"
HighStyleSteelAnkleCuffsPoseChained,Chain Attached
HighStyleSteelAnkleCuffsPoseClosed,Chain Closed
HighStyleSteelAnkleCuffsPoseNone,Detached
HighStyleSteelAnkleCuffsRestrainChained,SourceCharacter attaches the HighStyle Steel ankle cuffs chain on DestinationCharacter ankles.
HighStyleSteelAnkleCuffsRestrainClosed,SourceCharacter attaches the HighStyle Steel ankle cuffs chain on DestinationCharacter ankles.
HighStyleSteelAnkleCuffsRestrainNone,SourceCharacter detaches the chain from DestinationCharacter HighStyle Steel ankle cuffs.
HoldLeash,SourceCharacter grabs the leash of TargetCharacter.
Increase,Increase
InflatableVibratingPantiesDecreaseTof0,SourceCharacter deflates DestinationCharacter AssetName till it's empty.
InflatableVibratingPantiesDecreaseTof1,SourceCharacter deflates DestinationCharacter AssetName till only slightly filled.
InflatableVibratingPantiesDecreaseTof2,SourceCharacter deflates DestinationCharacter AssetName till it's half full.
InflatableVibratingPantiesDecreaseTof3,SourceCharacter deflates DestinationCharacter AssetName only a tiny bit.
InflatableVibratingPantiesDecreaseToi0,DestinationCharacterName AssetName stops vibrating.
InflatableVibratingPantiesDecreaseToi1,DestinationCharacterName AssetName slows down into a light tease.
InflatableVibratingPantiesDecreaseToi2,DestinationCharacterName AssetName returns to a moderate pace.
InflatableVibratingPantiesDecreaseToi3,DestinationCharacterName AssetName slows down a tiny bit.
InflatableVibratingPantiesIncreaseTof1,SourceCharacter inflates DestinationCharacter AssetName only slightly.
InflatableVibratingPantiesIncreaseTof2,SourceCharacter inflates DestinationCharacter AssetName till it's half full.
InflatableVibratingPantiesIncreaseTof3,SourceCharacter inflates DestinationCharacter AssetName till three quarters filled.
InflatableVibratingPantiesIncreaseTof4,SourceCharacter inflates DestinationCharacter AssetName to it's maximum amount.
InflatableVibratingPantiesIncreaseToi1,DestinationCharacterName AssetName starts teasing TargetPronounObject lightly.
InflatableVibratingPantiesIncreaseToi2,DestinationCharacterName AssetName builds up to a moderate pace.
InflatableVibratingPantiesIncreaseToi3,DestinationCharacterName AssetName starts buzzing strongly!
InflatableVibratingPantiesIncreaseToi4,DestinationCharacterName AssetName jumps up to maximum intensity!
InflatableVibratingPantiesModuleInflateLevel,Inflate Level
InflatableVibratingPantiesModuleIntensity,Intensity
InflatableVibratingPantiesOptionf0,Empty
InflatableVibratingPantiesOptionf1,Light
InflatableVibratingPantiesOptionf2,Inflated
InflatableVibratingPantiesOptionf3,Bloated
InflatableVibratingPantiesOptionf4,Maximum
InflatableVibratingPantiesOptioni0,Turn Off
InflatableVibratingPantiesOptioni1,Low
InflatableVibratingPantiesOptioni2,Medium
InflatableVibratingPantiesOptioni3,High
InflatableVibratingPantiesOptioni4,Maximum
InflatableVibratingPantiesSelectBase,Select options
InflatableVibratingPantiesSelectInflateLevel,Select inflation level
InflatableVibratingPantiesSelectIntensity,Select intensity
Inflated,Inflated
InflatedHooddeflatesToBloated,SourceCharacter deflates DestinationCharacter inflated hood's gag only a tiny bit.
InflatedHooddeflatesToEmpty,SourceCharacter deflates inflated hood's gag fully till it's empty.
InflatedHooddeflatesToInflated,SourceCharacter deflates DestinationCharacter inflated hood's gag till it's half full.
InflatedHooddeflatesToLight,SourceCharacter deflates DestinationCharacter inflated hood's gag till it's only slighty filled.
InflatedHoodpumpsToBloated,SourceCharacter inflates DestinationCharacter inflated hood's gag till it's three quarters filled.
InflatedHoodpumpsToInflated,SourceCharacter inflates DestinationCharacter inflated hood's gag till it's half full.
InflatedHoodpumpsToLight,SourceCharacter inflates DestinationCharacter inflated hood's gag only slightly.
InflatedHoodpumpsToMaximum,SourceCharacter inflates DestinationCharacter inflated hood's gag to the maximum amount.
InflateLevel,Inflation level:
InflateLevel0,Inflation level: Empty
InflateLevel1,Inflation level: Light
InflateLevel2,Inflation level: Inflated
InflateLevel3,Inflation level: Bloated
InflateLevel4,Inflation level: Max
InflateLevelBloated,Bloated
InflateLevelEmpty,Empty
InflateLevelInflated,Inflated
InflateLevelLight,Light
InflateLevelMaximum,Maximum
InflationAmountBloated,Bloated
InflationAmountInflated,Inflated
InflationAmountLight,Light
InflationAmountMax,Max
InflationAmountSetBloated,SourceCharacter adjusts DestinationCharacter inflatable strait leotard to three quarters filled.
InflationAmountSetInflated,SourceCharacter adjusts DestinationCharacter inflatable strait leotard to be half filled.
InflationAmountSetLight,SourceCharacter adjusts DestinationCharacter inflatable strait leotard to be only lightly filled.
InflationAmountSetMax,SourceCharacter adjusts DestinationCharacter inflatable strait leotard to fill the maximum amount.
InLarp,in LARP
InMagicBattle,in Magic Battle
Introduction,Introduction
ItemArmsBitchSuitModuleClothes,Clothes over suit
ItemArmsBitchSuitModuleStraps,Extra straps
ItemArmsBitchSuitModuleUnderwear,Underwear over suit
ItemArmsBitchSuitModuleZipped,Suit zippers
ItemArmsBitchSuitOptioncl0,Hidden
ItemArmsBitchSuitOptioncl1,Visible
ItemArmsBitchSuitOptionst0,Removed
ItemArmsBitchSuitOptionst1,Fitted
ItemArmsBitchSuitOptionun0,Hidden
ItemArmsBitchSuitOptionun1,Underwear Visible
ItemArmsBitchSuitOptionun2,Underwear and Socks Visible
ItemArmsBitchSuitOptionz0,Zipped up
ItemArmsBitchSuitOptionz1,Unzipped
ItemArmsBitchSuitOptionz2,Seamless
ItemArmsBitchSuitOptionz3,Exposed
ItemArmsBitchSuitSelectBase,Configure suit and what is worn over the suit.
ItemArmsBitchSuitSelectClothes,Wear clothes over suit
ItemArmsBitchSuitSelectStraps,Limb straps
ItemArmsBitchSuitSelectUnderwear,Wear underwear over suit
ItemArmsBitchSuitSelectZipped,"Zips, seamless or fully exposed"
ItemArmsBitchSuitSetcl0,SourceCharacter dresses DestinationCharacter with the AssetName over TargetPronounPossessive clothes.
ItemArmsBitchSuitSetcl1,SourceCharacter dresses DestinationCharacter with clothes over TargetPronounPossessive AssetName.
ItemArmsBitchSuitSetst0,SourceCharacter removes the extra straps from DestinationCharacter AssetName.
ItemArmsBitchSuitSetst1,SourceCharacter adds extra straps to DestinationCharacter AssetName.
ItemArmsBitchSuitSetun0,SourceCharacter dresses DestinationCharacter with the AssetName over TargetPronounPossessive underwear.
ItemArmsBitchSuitSetun1,SourceCharacter dresses DestinationCharacter with underwear over TargetPronounPossessive AssetName.
ItemArmsBitchSuitSetun2,SourceCharacter dresses DestinationCharacter with underwear and socks over TargetPronounPossessive AssetName.
ItemArmsBitchSuitSetz0,SourceCharacter zips up DestinationCharacter AssetName.
ItemArmsBitchSuitSetz1,SourceCharacter unzips DestinationCharacter AssetName.
ItemArmsBitchSuitSetz2,"SourceCharacter uses a seamless AssetName on DestinationCharacterName body, fully covering TargetPronounObject."
ItemArmsBitchSuitSetz3,SourceCharacter unzips DestinationCharacter AssetName and fully exposes TargetPronounPossessive breasts and pussy.
ItemArmsCeilingShacklesHeadLevel,On head level
ItemArmsCeilingShacklesOverhead,Over the head
ItemArmsCeilingShacklesSetHeadLevel,SourceCharacter lowers the ceiling shackles on TargetCharacter a bit.
ItemArmsCeilingShacklesSetOverhead,SourceCharacter raises the ceiling shackles on TargetCharacter over TargetPronounPossessive head.
ItemArmsCeilingShacklesSetSuspensionHeadLevel,SourceCharacter detaches the shackles on TargetCharacter from the floor.
ItemArmsCeilingShacklesSetSuspensionOverhead,SourceCharacter attaches the shackles on TargetCharacter to the floor.
ItemArmsCollarCuffsLoose,Loose
ItemArmsCollarCuffsNormal,Normal
ItemArmsCollarCuffsSelect,How tight do you want the strap linking the cuffs?
ItemArmsCollarCuffsSetLoose,SourceCharacter loosens the strap on DestinationCharacter collar cuffs.
ItemArmsCollarCuffsSetNormal,SourceCharacter adjusts the strap normally on DestinationCharacter collar cuffs.
ItemArmsCollarCuffsSetSnug,SourceCharacter snugs the strap on DestinationCharacter collar cuffs.
ItemArmsCollarCuffsSetTight,SourceCharacter tightens the strap on DestinationCharacter collar cuffs.
ItemArmsCollarCuffsSnug,Snug
ItemArmsCollarCuffsTight,Tight
ItemArmsCollarMetalcuffsLoose,Loose
ItemArmsCollarMetalcuffsNormal,Normal
ItemArmsCollarMetalcuffsSelect,How tight do you want the chain linking the cuffs?
ItemArmsCollarMetalcuffsSetLoose,SourceCharacter loosens the chain on DestinationCharacter metal collar cuffs.
ItemArmsCollarMetalcuffsSetNormal,SourceCharacter adjusts the chain normally on DestinationCharacter metal collar cuffs.
ItemArmsCollarMetalcuffsSetSnug,SourceCharacter snugs the chain on DestinationCharacter metal collar cuffs.
ItemArmsCollarMetalcuffsSetTight,SourceCharacter tightens the chain on DestinationCharacter metal collar cuffs.
ItemArmsCollarMetalcuffsSnug,Snug
ItemArmsCollarMetalcuffsTight,Tight
ItemArmsCuffsBoth,Bind both
ItemArmsCuffsElbow,Bind elbows
ItemArmsCuffsHogtie,Hogtie
ItemArmsCuffsNone,Detached
ItemArmsCuffsWrist,Bind wrists
ItemArmsDuctTapeArms,Arms
ItemArmsDuctTapeBottom,Skirt
ItemArmsDuctTapeComplete,Full Mummy
ItemArmsDuctTapeExposedComplete,Exposed Full Mummy
ItemArmsDuctTapeFull,Mummy
ItemArmsDuctTapePetTape,Pet Tape
ItemArmsDuctTapeSetArms,SourceCharacter removes some of the duct tape from DestinationCharacter torso.
ItemArmsDuctTapeSetBottom,SourceCharacter creates a duct tape skirt on TargetCharacter and traps TargetPronounPossessive hands in it.
ItemArmsDuctTapeSetComplete,SourceCharacter creates a completed duct tape mummy on TargetCharacter and traps TargetPronounPossessive entire upper body in it.
ItemArmsDuctTapeSetExposedComplete,SourceCharacter creates a completed duct tape mummy on TargetCharacter and cuts a hole so that TargetPronounPossessive breasts are exposed.
ItemArmsDuctTapeSetFull,SourceCharacter creates a duct tape mummy on TargetCharacter and traps TargetPronounPossessive arms in it.
ItemArmsDuctTapeSetPetTape,SourceCharacter folds DestinationCharacter arms and wraps duct tape around them.
ItemArmsDuctTapeSetTop,SourceCharacter creates a duct tape top on TargetCharacter and traps TargetPronounPossessive arms in it.
ItemArmsDuctTapeTop,Torso
ItemArmsFullLatexSuitLatex,Zipped Up
ItemArmsFullLatexSuitSelect,Select suit type and wand attachment
ItemArmsFullLatexSuitSetLatex,SourceCharacter zips up DestinationCharacter suit.
ItemArmsFullLatexSuitSetUnZip,SourceCharacter unzips DestinationCharacter suit.
ItemArmsFullLatexSuitSetWand,SourceCharacter attaches a wand to DestinationCharacter suit.
ItemArmsFullLatexSuitUnZip,Unzipped
ItemArmsFullLatexSuitWand,Wand Attachment
ItemArmsFuturisticStraitjacketModuleArms,Arms
ItemArmsFuturisticStraitjacketModuleCloth,Cloth
ItemArmsFuturisticStraitjacketModuleCorset,Torso
ItemArmsFuturisticStraitjacketModuleNipplesPiercings,Breasts
ItemArmsFuturisticStraitjacketModuleVulvaPiercings,Pelvis and Vulva
ItemArmsFuturisticStraitjacketOptiona0,Arms front
ItemArmsFuturisticStraitjacketOptiona1,Arms behind
ItemArmsFuturisticStraitjacketOptioncl0,Hidden
ItemArmsFuturisticStraitjacketOptioncl1,Visible
ItemArmsFuturisticStraitjacketOptionco0,Hidden
ItemArmsFuturisticStraitjacketOptionco1,Visible
ItemArmsFuturisticStraitjacketOptionnp0,Hidden
ItemArmsFuturisticStraitjacketOptionnp1,Visible
ItemArmsFuturisticStraitjacketOptionvp0,Hidden
ItemArmsFuturisticStraitjacketOptionvp1,Visible
ItemArmsFuturisticStraitjacketSelectArms,Choose where the arms are restrained.
ItemArmsFuturisticStraitjacketSelectBase,Adjust what is visible and what is hidden.
ItemArmsFuturisticStraitjacketSelectCloth,Hide/Unhide clothes.
ItemArmsFuturisticStraitjacketSelectCorset,Hide/Unhide corsets.
ItemArmsFuturisticStraitjacketSelectNipplesPiercings,Hide/Unhide nipple piercings normally hidden due to layer.
ItemArmsFuturisticStraitjacketSelectVulvaPiercings,Hide/Unhide vulva piercings normally hidden due to layer.
ItemArmsFuturisticStraitjacketSeta0,DestinationCharacter arms are now in front of them.
ItemArmsFuturisticStraitjacketSeta1,DestinationCharacter arms are now behind of them.
ItemArmsFuturisticStraitjacketSetcl0,DestinationCharacter clothes are now hidden when wearing TargetPronounPossessive leotard.
ItemArmsFuturisticStraitjacketSetcl1,DestinationCharacter clothes are now visible when wearing TargetPronounPossessive leotard.
ItemArmsFuturisticStraitjacketSetco0,DestinationCharacter torso items is now hidden when wearing TargetPronounPossessive leotard.
ItemArmsFuturisticStraitjacketSetco1,DestinationCharacter torso items is now visible when wearing TargetPronounPossessive leotard.
ItemArmsFuturisticStraitjacketSetnp0,DestinationCharacter breast items are now hidden when wearing TargetPronounPossessive leotard.
ItemArmsFuturisticStraitjacketSetnp1,DestinationCharacter breast items are now visible when wearing TargetPronounPossessive leotard.
